XAI,AUC,APL,NODES,SUBTREE,ATTR,STABILITY,SUFFCIENCY,ATE
cart_mlp_bc,0.918,2.776,17,0,0,0.994,0.814,0.138
cart_rf_bc,0.936,2.776,17,0,0,0.994,0.86,0.151
batree_mlp_bc,0.877,2.98,13,0,0,1,0.735,0.168
batree_rf_bc,0.918,3,15,0.4,0,1,0.755,0.148
c45_mlp_bc,0.889,6.646,53,0.23,0,0.99,0.728,0.169
c45_rf_bc,0.895,7.138,57,0.21,0,0.99,0.78,0.152
c50_mlp_bc,0.93,2.809,19,0,0.028,0.997,0.84,0.171
c50_rf_bc,0.953,2.809,19,0,0.028,1,0.886,0.171
chaid_mlp_bc,0.901,4.621,61,0.197,0,0.991,0.885,0.108
chaid_rf_bc,0.901,4.774,63,0,0,0.993,0.885,0.11
cart_mlp_wine,0.852,2.25,9,0,0,1,0.838,0.57
cart_rf_wine,0.907,2.25,9,0,0,1,0.892,0.57
batree_mlp_wine,0.852,3,15,0.4,0.76,1,0.825,0.272
batree_rf_wine,0.87,2.976,13,0.462,0.296,1,0.86,0.46
c45_mlp_wine,0.852,4.282,25,0,0,0.97,0.805,0.355
c45_rf_wine,0.87,4.282,25,0,0,0.97,0.829,0.355
c50_mlp_wine,0.852,2.645,11,0,0,1,0.816,0.371
c50_rf_wine,0.907,2.645,11,0,0,1,0.868,0.371
chaid_mlp_wine,0.815,4.419,33,0.182,0,0.975,0.811,0.239
chaid_rf_wine,0.833,4.419,33,0.182,0,0.981,0.83,0.239
